,brand,family,reference,name,produced,limited,caseMaterial,caseGlass,caseBack,caseShape,caseDiameter,caseHeight,caseLugWidth,dialColor,dialMaterial,dialIndexes,dialHands,movementType,movementBrand,movementCaliber,movementDisplay,movementDiameter,movementJewels,movementReserve,movementFrequency,movementTime,description,imageLink,imagePath
10,Bell & Ross,Instruments,,BR 01 96 Altimeter,,"Yes, 999 units",Stainless steel,Sapphire,Closed,Square,46.00 mm,,,Black,,Arabic Numerals,Sword,Automatic,ETA,2896,Analog,25.60 mm,21.0,42 h,28800 bph,"Hours, Minutes, Seconds","The BR 01 ALTIMETER watch is inspired by aircraft cockpits, where each part is a reference in terms of legibility, reliability and performance. The display of the BR 01 ALTIMETER recalls the graphics of the reference instrument, the altimeter.
The present example features a stainless steel case with PVD finish and a black dial with date at 3:00 resembling a altimeter
Reference BR0192-ALTIMETER",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0196-altimeter-9.png,images_latest/br0196-altimeter-9.png
11,Apple,Watch,,Watch 38mm,2015,No,,Sapphire,Closed,Rectangular,33.30 mm,10.50 mm,,,,,,Processor,Apple,Apple Watch,Digital,,,18 h,,"Hours, Minutes, Seconds, World Time","The Apple Watch in 38mm has a stainless steel case with a ceramic back in 33.3x38.6mm at a height of 10.5mm. It is splash proof though not water resistant. The 'movement' has a power reserve of 18 hours, after which it can be recharged using a magnetic charging cable. The glass on the Apple Watch version is sapphire.

Synced with an iPhone, it keeps time to within 50 milliseconds of the definitive global time standard. The 'dial' can of course be customized. It features various sensors to keep track of health and activity.

Available in a wide range of versions, the current version of the Apple Watch has a stainless steel case and a supple French-made leather strap in soft pink with so-called 'modern' buckle.",https://watchbase.r.sizr.io/watch/lg/apple/apple-watch/mj362ll-5c.jpg,images_latest/mj362ll-5c.jpg
12,Breitling,Transocean,,Transocean Date Stainless Steel / Silver / Croco / Pin,2011 - 2012,No,Stainless Steel,Sapphire,Closed,Round,43.00 mm,,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B10,Analog,25.60 mm,21.0,42 h,28800 bph,"Hours, Minutes, Seconds","Transocean

The Transocean reinterprets the pure design of the classic 1950s and 60s in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.



REF. A1036012.G721.737P",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a1036012g721737p-27.jpg,images_latest/a1036012g721737p-27.jpg
13,Audemars Piguet,Jules Audemars,,Jules Audemars 26083 Tourbillon Chronograph White Gold / MOP,,No,White gold,Sapphire,Open,Round,41.00 mm,13.30 mm,,White,Mother of Pearl,Stick / Dot,Poire,Handwound,Audemars Piguet,AP 2889,Analog,30.50 mm,28.0,72 h,21600 bph,"Hours, Minutes, Small Seconds","The Jules Audemars Tourbillon Chronograph 26083BC.ZZ.D102CR.01 has a white gold case and a mother-of-pearl dial; both are heavily set with diamonds. It is powered by caliber AP 2889.

The case and buckle are set with 250 brilliant-cut and 68 baguette cut diamonds; the dial is set with 136 diamonds. A rose-cut diamond is found on the crown.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/26083bc-zz-d102cr-01-fc.png,images_latest/26083bc-zz-d102cr-01-fc.png
14,Audemars Piguet,Millenary,,Millenary Carbon One,2009,"Yes, 120 units",,Sapphire,Open,Oval,47.00 mm,16.40 mm,,Black,,Stick / Dot,Alpha,Handwound,Audemars Piguet,AP 2884,Analog,31.60 mm,30.0,237 h,21600 bph,"Hours, Minutes, Small Seconds",The Audemars Piguet Millenary Carbon One 26152AU.OO.D002CR.01 was introduced in 2009 as a limited edition of 120 pieces.This watch features a forged carbon case with ceramic crown and pushpieces. The movement is hand-wound.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/26152au-oo-d002cr-01-f1.png,images_latest/26152au-oo-d002cr-01-f1.png
15,Jaeger-LeCoultre,Reverso,,Reverso Tribute Duoface Stainless Steel / Blue / Fagliano,2019,No,Stainless Steel,Sapphire,Double Dial,Rectangular,28.30 mm,10.30 mm,,Blue,,Stick / Dot,Dauphine,Handwound,Jaeger-LeCoultre,854A/2,Analog,20.20 mm,19.0,42 h,21600 bph,"Hours, Minutes, Additional 12 Hour Hand (adjustable), Day / Night Indication",The Jaeger-LeCoultre Reverso Tribute Duoface was released at SIHH 2019. It features a blue dial on one side paired with a silver dial on the other. It is powered by caliber 854A/1.,https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3988482-46.png,images_latest/3988482-46.png
16,Ball Watch,Engineer Hydrocarbon,,Engineer Hydrocarbon NEDU Blue / Rubber,2013,No,Titanium,Sapphire,Closed,Round,42.00 mm,17.30 mm,,Blue,,Stick / Dot,Sword,Automatic,Ball Watch,RR1402C,Analog,30.00 mm,25.0,42 h,28800 bph,"Hours, Minutes, Small Seconds","The Ball Engineer Hydrocarbon NEDU was introduced in 2013. It was named after the Navy Experimental Diving Unit branch of the American Navy. The case measures 42mm across and is made of titanium with a ceramic bezel insert. It houses the self-winding caliber 7750 which is chronometer certified. The crown is fitted with a signature protector and an integrated helium escape valve.

Reference DC3026A-PC-BE has a blue dial and a rubber strap.",https://watchbase.r.sizr.io/watch/lg/ball-watch/engineer-hydrocarbon/dc3026a-pc-be-28.jpg,images_latest/dc3026a-pc-be-28.jpg
17,Archimede,Pilot,,Pilot 45 KS Stainless Steel / Black,,No,Stainless steel,Sapphire,Open,Round,45.00 mm,10.50 mm,,Black,,Arabic Numerals,Sword,Handwound,ETA,6498-1,Analog,36.60 mm,17.0,46 h,18000 bph,"Hours, Minutes, Small Seconds","Classic design, engineering precision and functionality are the guidelines for this outstanding chronograph.

This Pilot 45 KS is powered by the hand-wound ETA 6498 movement, with small seconds at 6 o'clock. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel and measures 45mm across. The Pilot 45 KS is available with display back or - as an option - with a solid case back.

The catchy Pilot crown is designed for optimal usability, both when winding and while setting the time. The classic pilot's-style dial with luminous hands allows a clear time reading. 

Reference UA7949-H1.3 is fitted with a dark brown leather strap",https://watchbase.r.sizr.io/watch/lg/archimede/pilot/ua7949-h1-3-2b.jpg,images_latest/ua7949-h1-3-2b.jpg
18,Audemars Piguet,Millenary,,Millenary Quadriennium,2015,No,Pink gold,Sapphire,Open,Oval,47.00 mm,15.50 mm,,White,Enamel,Roman Numerals,Alpha,Handwound,Audemars Piguet,AP 2905/B01,Analog,37.90 mm,38.0,168 h,21600 bph,"Hours, Minutes, Small Seconds",The Audemars Piguet Millenary Quadriennium 26149OR.OO.D803CR.01 was introduced in 2015.It features the signature Millenary oval-shaped case paired with a hand-wound movement with four-year calendar.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/26149or-oo-d803cr-01-d.png,images_latest/26149or-oo-d803cr-01-d.png
19,Jaeger-LeCoultre,Reverso,,Reverso Duetto Classique Pink Gold,,No,Pink gold,Sapphire,Closed,Rectangular,23.10 mm,9.50 mm,,Silver,,Arabic Numerals,Sword,Handwound,Jaeger-LeCoultre,865,Analog,,19.0,48 h,21600 bph,"Hours, Minutes","Two back-to-back dials and two sets of hands turning in opposite directions, while driven by a single movement. On the back, its other face offers a scintillating contrast with an Art Deco inspired dial lit up with diamonds.

Dimensions (L x W) : 38.5x23.1mm
Thickness : 9.5mm
",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/2562402-3e.jpg,images_latest/2562402-3e.jpg
20,Breitling,Transocean,,Transocean Date Stainless Steel / Silver / Bracelet,2011 - 2012,No,Stainless Steel,Sapphire,Closed,Round,43.00 mm,,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B10,Analog,25.60 mm,21.0,42 h,28800 bph,"Hours, Minutes, Seconds","Transocean  The Transocean reinterprets the pure design of the classic 1950s and 60s in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.    REF. A1036012.G721.154A",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a1036012g721154a-63.jpg,images_latest/a1036012g721154a-63.jpg
21,Apple,Watch,,Watch 42mm,2015,No,,Sapphire,Closed,Rectangular,35.90 mm,10.50 mm,,,,Mixed,Proprietary ,Processor,Apple,Apple Watch,Digital,,,18 h,,"Hours, Minutes, Seconds, World Time","The Apple Watch in 42mm has a stainless steel case with a ceramic back in 35.9x42.0mm at a height of 10.5mm. It is splash proof though not water resistant. The 'movement' has a power reserve of 18 hours, after which it can be recharged using a magnetic charging cable. The glass on the Apple Watch version is sapphire.

Synced with an iPhone, it keeps time to within 50 milliseconds of the definitive global time standard. The 'dial' can of course be customized. It features various sensors to keep track of health and activity.

Available in a wide range of versions, the current version of the Apple Watch has a stainless steel case and a grey (stone) leather 'loop' strap with magnetic buckle system.",https://watchbase.r.sizr.io/watch/lg/apple/apple-watch/mj432ll-56.jpg,images_latest/mj432ll-56.jpg
22,Jaeger-LeCoultre,Reverso,,Reverso Classic Medium Duetto Stainless Steel / Silver / Bracelet,,No,Stainless Steel,Sapphire,Double Dial,Rectangular,24.40 mm,9.50 mm,,Silver,,Arabic Numerals,Dauphine,Handwound,Jaeger-LeCoultre,854B/2,Analog,20.20 mm,19.0,45 h,21600 bph,"Hours, Minutes, Additional 12 Hour Hand (adjustable), Day / Night Indication","The Jaeger-LeCoultre Reverso Classic Medium Duetto 2588120 was introduced at SIHH 2017. It features a cstainless steel case (40*24mm), which houses the hand-wound caliber 854B/2. The black dial on the reverse side is highlighted by two rows of diamonds. ",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/2588120-67.png,images_latest/2588120-67.png
23,Audemars Piguet,Jules Audemars,,Jules Audemars 25866 Grande Complication Pink Gold / White,,No,Pink gold,Sapphire,Open,Round,42.00 mm,14.00 mm,,Silver,,Stick / Dot,Feuille,Automatic,Audemars Piguet,AP 2885,Analog,31.60 mm,52.0,45 h,19800 bph,"Hours, Minutes, Small Seconds","The Jules Audemars is a gentleman's watch with perpetual calendar, minute repeater, split seconds chronograph, moon phase and small seconds - earning it the 'Grande Complication' moniker.

Reference 25866OR.OO.D002CR.01 has a pink gold case and a white dial with stick markers. The hands are made of blackened gold.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/25866or-oo-d002cr-01-c8.png,images_latest/25866or-oo-d002cr-01-c8.png
24,Breitling,Transocean,,Transocean Chronograph 38 Black / Milanese,2013,No,Stainless Steel,Sapphire,Closed,Round,38.00 mm,14.50 mm,20.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B41,Analog,25.60 mm,38.0,42 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph 38 is a smaller version of the Transocean Chrono - packing the same neo-vintage & classical looks in a 38mm case. Contrary to its bigger sibling, it is powered by the B41 movement.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4131012bc06171a-bb.jpg,images_latest/a4131012bc06171a-bb.jpg
25,Breitling,Transocean,,Transocean Chronograph 1461 Stainless Steel / Silver / Military / Pin,,No,Stainless Steel,Sapphire,Closed,Round,43.00 mm,15.25 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B19,Analog,,38.0,42 h,28800 bph,"Hours, Minutes, Small Seconds","In the Transocean Chronograph 1461, the chronograph is combined with a complete calendar requiring adjustment only once every leap year, meaning every 1,461 days. The case measures 43mm across.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a1931012-g750-106w-97.jpg,images_latest/a1931012-g750-106w-97.jpg
26,Jaeger-LeCoultre,Reverso,,Grande Reverso Ultra Thin Duoface,,No,Stainless Steel,Sapphire,Double Dial,Rectangular,27.40 mm,9.10 mm,,Silver,,Stick / Dot,Sword,Handwound,Jaeger-LeCoultre,854/1,Analog,20.20 mm,21.0,45 h,21600 bph,"Hours, Minutes, Additional 12 Hour Hand (adjustable), Day / Night Indication","First created in 1994, the Duoface concept reinvents the reading of a second time zone, thanks to the magic of the reversible watch. A single movement drives the two dials of the Grande Reverso Ultra Thin Duoface watch. Echoing the aesthetic codes of the historic 1931 model, this new Reverso model, complete with a new ultra-thin case, symbolises the perfect combination of elegance, expertise and a rich historical legacy.

Dimensions (L x W) : 46.8x27.4mm
Thickness : 9.1mm",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3788570-58.jpg,images_latest/3788570-58.jpg
27,Apple,Watch,,Watch 38mm,2015,No,,Sapphire,Closed,Rectangular,33.30 mm,10.50 mm,,,,,,Processor,Apple,Apple Watch,Digital,,,18 h,,"Hours, Minutes, Seconds, World Time","The Apple Watch in 38mm has a stainless steel case with a ceramic back in 33.3x38.6mm at a height of 10.5mm. It is splash proof though not water resistant. The 'movement' has a power reserve of 18 hours, after which it can be recharged using a magnetic charging cable. The glass on the Apple Watch version is sapphire.

Synced with an iPhone, it keeps time to within 50 milliseconds of the definitive global time standard. The 'dial' can of course be customized. It features various sensors to keep track of health and activity.

Available in a wide range of versions, the current version of the Apple Watch has a stainless steel case and a supple French-made leather strap in brown with so-called 'modern' buckle.",https://watchbase.r.sizr.io/watch/lg/apple/apple-watch/mj3a2ll-77.jpg,images_latest/mj3a2ll-77.jpg
28,Jaeger-LeCoultre,Reverso,,Grande Reverso Lady Ultra Thin Duetto Duo,,No,Stainless Steel,Sapphire,Double Dial,Rectangular,24.00 mm,7.20 mm,,Silver,,Arabic Numerals,Sword,Handwound,Jaeger-LeCoultre,864A,Analog,20.20 mm,19.0,42 h,21600 bph,"Hours, Minutes, Additional 12 Hour Hand (adjustable)","Functioning according to the Duetto concept of two dials operated by a single movement, this Reverso watch enables its owner to express the different sides of her personality. Whenever you desire, the superb guilloché dial on the front can be replaced by the second time zone and magnificent mother-of-pearl marquetry on the back, all with a single turn of the case. In addition to its resolutely feminine character, its ultra-thin case gives this Grande Reverso Lady Ultra Thin Duetto Duo watch an extra touch of elegance and refinement.

Dimensions (L x W) : 40x24mm
Thickness : 8.9mm
Back dial: Mother-of-pearl",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3308421-e0.jpg,images_latest/3308421-e0.jpg
29,Jaeger-LeCoultre,Reverso,,Reverso Classic Medium Stainless Steel / Silver,2016,No,Stainless Steel,Sapphire,Closed,Rectangular,24.40 mm,9.00 mm,,Silver,,Arabic Numerals,Sword,Automatic,Jaeger-LeCoultre,965,Analog,,30.0,38 h,28800 bph,"Hours, Minutes","The back of the Reverso Classic timepiece available in steel and in three different sizes provides the perfect space on which to give free rein to the imagination, such as through an engraving. One simple movement enables it to reveal what individuals wish to say about themselves, unless of course they prefer to keep it discreetly hidden inside the carrier.

Launched at SIHH 2016.
Case size 40.1x24.4mm. ",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/2538420-e0.png,images_latest/2538420-e0.png
30,Audemars Piguet,Jules Audemars,,Jules Audemars 25866 Grande Complication Yellow Gold / White,,No,Yellow gold,Sapphire,Open,Round,42.00 mm,14.00 mm,,Silver,,Stick / Dot,Feuille,Automatic,Audemars Piguet,AP 2885,Analog,31.60 mm,52.0,45 h,19800 bph,"Hours, Minutes, Small Seconds","The Jules Audemars is a gentleman's watch with perpetual calendar, minute repeater, split seconds chronograph, moon phase and small seconds - earning it the 'Grande Complication' moniker.

Reference 25866BA.OO.D002CR.01 has a yellow gold case and a white dial with stick markers. The hands are made of blackened gold.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/25866ba-oo-d002cr-01-4c.png,images_latest/25866ba-oo-d002cr-01-4c.png
31,Jaeger-LeCoultre,Reverso,,Reverso Classic Large Small Seconds Stainless Steel / Silver / Fagliano,2018,No,Stainless Steel,Sapphire,Closed,Rectangular,27.40 mm,,,Silver,,Arabic Numerals,Baton,Handwound,Jaeger-LeCoultre,822/2,Analog,20.20 mm,21.0,38 h,21600 bph,"Hours, Minutes, Small Seconds",The Jaeger-LeCoultre Reverso Classic 3858522 was introduced at SIHH 2018. It is similar to the 2017 3858520 though fitted with a strap from the Fagliano collection. It features a stainless steel case (45.6*27.4mm) housing the hand-wound caliber 822/2 movement. ,https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3858522-c3.png,images_latest/3858522-c3.png
32,Bell & Ross,Instruments,,BR 01 92 Horizon,,"Yes, 999 units",Stainless steel,Sapphire,Closed,Square,46.00 mm,,24.00 mm,Black,,Mixed,Proprietary ,Automatic,ETA,2892-A2,Analog,25.60 mm,21.0,42 h,28800 bph,"Hours, Minutes, Seconds","The BR 01 HORIZON watch is inspired by aircraft cockpits, where each part is a reference in terms of legibility, reliability and performance. The display of the BR 01 HORIZON recalls the graphics of the reference instrument, the artificial horizon.
The present example features a stainless steel case with PVD coating and a black rubber strap.
Reference BR0192-HORIZON",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0192-horizon-24.png,images_latest/br0192-horizon-24.png
33,Apple,Watch,,Watch 38mm,2015,No,,Sapphire,Closed,Rectangular,33.30 mm,10.50 mm,,,,,,Processor,Apple,Apple Watch,Digital,,,18 h,,"Hours, Minutes, Seconds, World Time","The Apple Watch in 38mm has a stainless steel case with a ceramic back in 33.3x38.6mm at a height of 10.5mm. It is splash proof though not water resistant. The 'movement' has a power reserve of 18 hours, after which it can be recharged using a magnetic charging cable. The glass on the Apple Watch version is sapphire.

Synced with an iPhone, it keeps time to within 50 milliseconds of the definitive global time standard. The 'dial' can of course be customized. It features various sensors to keep track of health and activity.

Available in a wide range of versions, the current version of the Apple Watch has a stainless steel case and a black rubber strap called 'Sport Band'.",https://watchbase.r.sizr.io/watch/lg/apple/apple-watch/mj2y2ll-40.jpg,images_latest/mj2y2ll-40.jpg
34,Jaeger-LeCoultre,Reverso,,Reverso Tribute Calendar,2016,No,Pink gold,Sapphire,Double Dial,Rectangular,29.90 mm,10.90 mm,,Silver,,Stick / Dot,Dauphine,Handwound,Jaeger-LeCoultre,853,Analog,20.20 mm,19.0,42 h,21600 bph,"Hours, Minutes, Additional 12 Hour Hand (adjustable), Day / Night Indication","The Reverso Tribute Calendar watch, introduced at SIHH 2016,  provides a perfectly balanced representation of the Manufacture’s expertise. On one side it displays a traditional function, a complete calendar, and on the other the exclusive Reverso Duo function. The graphic narrative on the front exudes intense sophistication epitomised in the hammered moon-phase display. This captivating moonphase is echoed in perfect symmetry on the back with an opulently staged day/night indicator. It is topped with a tiny triangle enabling easy reading. Anthracite predominates on the guilloché dial with its “clous de Paris” hobnail finish, making a perfect match with the elegant pink gold of the case. Connoisseurs are bound to single out this Reverso Tribute Calendar watch driven by Jaeger-LeCoultre Calibre 853.

The case of the Reverso Tribute Calendar measures 49.4x29.9mm.",https://watchbase.r.sizr.io/watch/lg/jaeger-lecoultre/reverso/3912420-b.png,images_latest/3912420-b.png
35,Audemars Piguet,Millenary,,Millenary Hand-wound Frosted White Gold / Aventurine / Bracelet,2019,No,Pink gold,Sapphire,Open,Oval,39.50 mm,9.80 mm,20.00 mm,White,Opal,None,Alpha,Handwound,Audemars Piguet,AP 5201,Analog,32.74 mm,19.0,54 h,21600 bph,"Hours, Minutes, Small Seconds",The Audemars Piguet Millenary 77244OR.GG.1272OR.01 has a pink gold case with frosted finish and an opal dial.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/77244or-gg-1272or-01-9.png,images_latest/77244or-gg-1272or-01-9.png
