google_link,basic_info_family,case_material,case_glass,case_back,case_shape,dial_color,dial_indexes,dial_hands,movement_display
gs://watches_draft_2/images_latest/26380or-oo-d002cr-01-c7.png,Jules Audemars,case material - Pink gold,case glass - Sapphire,case back - Open,Round,dial color - Black,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/ua8239b-a1-1-h-6.jpg,Outdoor,case material - Stainless steel,case glass - Sapphire,case back - Closed,Round,dial color - White,Arabic Numerals,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/ua8239ca-a4-1-h-62.jpg,Outdoor,case material - Stainless steel,case glass - Sapphire,case back - Closed,Round,dial color - Green,Arabic Numerals,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/3742521-27.png,Reverso,case material - Pink gold,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/br0192-skull-burn-7c.jpg,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,StickDot,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/3832420-7a.png,Reverso,case material - Pink gold,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/15182or-zz-a102cr-01-33.png,Jules Audemars,case material - Pink gold,case glass - Sapphire,case back - Open,Round,dial color - Silver,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/3288120-b8.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - White,StickDot,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/br0192-bl-ca-2f.png,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/br0392-commando-ce-e9.png,Instruments,case material - Ceramic,case glass - Sapphire,case back - Closed,Square,dial color - Grey,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/3208421-d0.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/3946420-47.jpg,Reverso,case material - Platinum,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Skeleton,StickDot,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/2578420-42.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Baton,Analog
gs://watches_draft_2/images_latest/ua8239b-a3-1-h-3f.jpg,Outdoor,case material - Stainless steel,case glass - Sapphire,case back - Closed,Round,dial color - Blue,Arabic Numerals,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/26346or-oo-d088cr-01-58.png,Jules Audemars,case material - Pink gold,case glass - Sapphire,case back - Open,Round,dial color - Skeleton,StickDot,dial hands - Poire,Analog
gs://watches_draft_2/images_latest/3752520-95.jpg,Reverso,case material - Pink gold,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/26371or-oo-d803cr-01-eb.png,Millenary,case material - Pink gold,case glass - Sapphire,case back - Open,Oval,dial color - White,Roman Numerals,dial hands - Alpha,Analog
gs://watches_draft_2/images_latest/2668430-37.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/ua8239b-a2-1-h-c8.jpg,Outdoor,case material - Stainless steel,case glass - Sapphire,case back - Closed,Round,dial color - Black,Arabic Numerals,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/br0392-d-bl-st-srb-e.png,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/ua7949-a1-1-52.jpg,Pilot,case material - Stainless steel,case glass - Sapphire,case back - Open,Round,dial color - Black,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/26153pt-oo-d028cr-01-6b.png,Jules Audemars,case material - Pink gold,case glass - Sapphire,case back - Open,Round,dial color - White,Roman Numerals,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/2568402-1a.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/25866pt-oo-d002cr-01-98.png,Jules Audemars,case material - Platinum,case glass - Sapphire,case back - Open,Round,dial color - Silver,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/2668412-9a.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/15161sn-oo-d002cr-01-1e.png,Millenary,case material - Stainless steel,case glass - Sapphire,case back - Open,Oval,dial color - Black,Roman Numerals,dial hands - Alpha,Analog
gs://watches_draft_2/images_latest/15320bc-oo-d028cr-01-0.png,Millenary,case material - White gold,case glass - Sapphire,case back - Open,Oval,dial color - White,Roman Numerals,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/2702521-b2.png,Reverso,case material - Pink gold,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/a1931012-g750-739p-91.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Silver,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/3302421-de.jpg,Reverso,case material - Pink gold,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/326858j-a3.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Blue,Arabic Numerals,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/2712510-d9.png,Reverso,case material - Pink gold,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/br0192blcersrb-bb.jpg,Instruments,case material - Ceramic,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2712110-80.jpg,Reverso,case material - Pink gold,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/15320or-oo-d093cr-01-32.png,Millenary,case material - Pink gold,case glass - Sapphire,case back - Open,Oval,dial color - White,Roman Numerals,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/26346bc-oo-d002cr-01-d6.png,Jules Audemars,case material - White gold,case glass - Sapphire,case back - Open,Round,dial color - Skeleton,StickDot,dial hands - Poire,Analog
gs://watches_draft_2/images_latest/a1036012ba91743p-7a.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Black,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/br0192heading-8a.jpg,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Proprietary ,Analog
gs://watches_draft_2/images_latest/3908420-e4.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,StickDot,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/3848420-4c.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Baton,Analog
gs://watches_draft_2/images_latest/2702121-13.jpg,Reverso,case material - Pink gold,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/278852j-3a.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,StickDot,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2788570-87.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Black,StickDot,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/a1931012-g750-222a-73.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Silver,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/br0192airspeed-19.jpg,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/6344pt-oo-d028cr-02-98.png,Jules Audemars,case material - Platinum,case glass - Sapphire,case back - Open,Round,dial color - Blue,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/br0392-heritage-ce-86.png,Instruments,case material - Ceramic,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/15326bc-zz-d102cr-01-38.png,Millenary,case material - White gold,case glass - Sapphire,case back - Open,Oval,dial color - White,Roman Numerals,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/2608412-7e.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/3808420-a1.jpg,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/25996ti-oo-d002cr-02-9c.png,Jules Audemars,case material - Titanium,case glass - Sapphire,case back - Open,Round,dial color - Sapphire,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/26143pt-oo-d005cr-01-23.png,Jules Audemars,case material - Platinum,case glass - Sapphire,case back - Open,Round,dial color - Grey,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/2438522-b3.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Baton,Analog
gs://watches_draft_2/images_latest/3958420-a4.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,StickDot,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/a4131012c862171a-67.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Blue,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/15350or-oo-d093cr-01-62.png,Millenary,case material - Pink gold,case glass - Sapphire,case back - Open,Oval,dial color - Black,Roman Numerals,dial hands - Alpha,Analog
gs://watches_draft_2/images_latest/2618412-a3.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/3352420-8e.png,Reverso,case material - Pink gold,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,StickDot,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/216279-dd.jpg,Reverso,case material - Pink gold,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,StickDot,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/26003bc-oo-d002cr-01-43.png,Jules Audemars,case material - White gold,case glass - Sapphire,case back - Open,Round,dial color - Silver,Roman Numerals,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/br0193gmt-cf.png,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/ua8239f-a4-1-h-9c.jpg,Outdoor,case material - Stainless steel,case glass - Sapphire,case back - Closed,Round,dial color - Green,Arabic Numerals,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/br0194-ti-pro-1b.png,Instruments,case material - Titanium,case glass - Sapphire,case back - Closed,Square,dial color - Grey,Mixed,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/3838420-2c.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/3202421-ed.jpg,Reverso,case material - Pink gold,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2572420-95.png,Reverso,case material - Pink gold,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/br01-skull-sk-fld-cf.png,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Silver,Mixed,dial hands - Proprietary ,Analog
gs://watches_draft_2/images_latest/2662430-71.png,Reverso,case material - Pink gold,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/3828420-d0.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Baton,Analog
gs://watches_draft_2/images_latest/3978480-4b.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Blue,StickDot,dial hands - Dauphine,Analog
gs://watches_draft_2/images_latest/a1931012-g750-154a-32.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Silver,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/br0196whst-73.jpg,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/25866or-oo-d002cr-02-96.png,Jules Audemars,case material - Pink gold,case glass - Sapphire,case back - Open,Round,dial color - White,Arabic Numerals,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/2508413-76.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/br0194titanium-d1.png,Instruments,case material - Titanium,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/br0197-bl-st-a8.png,Instruments,case material - Stainless steel,case glass - Sapphire,case back - Closed,Square,dial color - Black,Mixed,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/2662420-7a.png,Reverso,case material - Pink gold,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Sword,Analog
gs://watches_draft_2/images_latest/26023pt-oo-1138pt-01-fb.png,Jules Audemars,case material - Platinum,case glass - Sapphire,case back - Open,Round,dial color - Sapphire,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/a1631012bd15171a-4.jpg,Transocean,case material - Stainless Steel,case glass - Sapphire,case back - Closed,Round,dial color - Black,StickDot,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/26344pt-oo-d002cr-01-64.png,Jules Audemars,case material - Platinum,case glass - Sapphire,case back - Open,Round,dial color - Silver,StickDot,dial hands - Feuille,Analog
gs://watches_draft_2/images_latest/ua8239-a4-1-h-8b.jpg,Outdoor,case material - Stainless steel,case glass - Sapphire,case back - Closed,Round,dial color - Green,Arabic Numerals,dial hands - Stick,Analog
gs://watches_draft_2/images_latest/2458422-81.png,Reverso,case material - Stainless Steel,case glass - Sapphire,case back - Double Dial,Rectangular,dial color - Silver,Arabic Numerals,dial hands - Baton,Analog
