googleLink,family,caseMaterial,caseGlass,caseBack,caseShape,dialColor,dialIndexes,dialHands,movementType,movementDisplay,movementTime
 gs://ram594/final_images/mj2y2ll-40.jpg,family - Watch,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Processor,movementDisplay - Digital,movementTime - Hours Minutes Se
 gs://ram594/final_images/3912420-b.png,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Dauphine,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/3212402-f0.jpg,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - White,dialIndexes - Mixed,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/a1631012a764171a-19.jpg,family - Transocean,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - White,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/ua7949-h1-2-b6.jpg,family - Pilot,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Open,caseShape - Round,dialColor - Black,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/2458420-7f.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Baton,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/2618430-61.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Baton,movementType - Quartz,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/ua7939-c1-2-38.jpg,family - Pilot,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Open,caseShape - Round,dialColor - Black,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/2662422-3b.png,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/15180or-oo-a002cr-01-26.png,family - Jules Audemars,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Open,caseShape - Round,dialColor - Black,dialIndexes - Stick  Dot,dialHands - Feuille,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/br0390blstsst-11.jpg,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Mixed,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/2718110-4.jpg,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/br0392-hor-blc-srb-b8.png,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/2518411-a9.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Quartz,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/mj322ll-e4.jpg,family - Watch,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Processor,movementDisplay - Digital,movementTime - Hours Minutes Se
 gs://ram594/final_images/br0194-bl-ca-50.png,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Mixed,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/2508411-c3.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/2708110-f2.jpg,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/br0390blst-70.png,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Mixed,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/mj472ll-c4.jpg,family - Watch,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Processor,movementDisplay - Digital,movementTime - Hours Minutes Se
 gs://ram594/final_images/a1036012g721433x-3d.jpg,family - Transocean,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/mj3e2ll-a5.jpg,family - Watch,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Processor,movementDisplay - Digital,movementTime - Hours Minutes Se
 gs://ram594/final_images/br0192-turncoor-67.png,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/3208420-31.jpg,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Quartz,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/2608110-f6.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/mj332ll-c2.jpg,family - Watch,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Processor,movementDisplay - Digital,movementTime - Hours Minutes Se
 gs://ram594/final_images/ua7949-a1-1-l-3e.jpg,family - Pilot,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Open,caseShape - Round,dialColor - Black,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/br0196blst-6f.jpg,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/2618110-78.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Quartz,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/3358420-56.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Dauphine,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/26380or-oo-d002cr-01-c7.png,family - Jules Audemars,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Open,caseShape - Round,dialColor - Black,dialIndexes - Stick  Dot,dialHands - Feuille,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/ua8239b-a1-1-h-6.jpg,family - Outdoor,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - White,dialIndexes - Arabic Numerals,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/3742521-27.png,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/br0192-skull-burn-7c.jpg,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Stick  Dot,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/mj3x2ll-69.jpg,family - Watch,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Processor,movementDisplay - Digital,movementTime - Hours Minutes Se
 gs://ram594/final_images/3832420-7a.png,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/15182or-zz-a102cr-01-33.png,family - Jules Audemars,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Open,caseShape - Round,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Feuille,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/3288120-b8.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - White,dialIndexes - Stick  Dot,dialHands - Dauphine,movementType - Quartz,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/br0192-bl-ca-2f.png,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Mixed,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/3208421-d0.jpg,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/2578420-42.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Baton,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/ua8239b-a3-1-h-3f.jpg,family - Outdoor,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Blue,dialIndexes - Arabic Numerals,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/3752520-95.jpg,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/2668430-37.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Dauphine,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/ua8239b-a2-1-h-c8.jpg,family - Outdoor,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Black,dialIndexes - Arabic Numerals,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/br0392-d-bl-st-srb-e.png,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Mixed,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/ua7949-a1-1-52.jpg,family - Pilot,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Open,caseShape - Round,dialColor - Black,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/2568402-1a.jpg,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/2668412-9a.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/2702521-b2.png,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/a1931012-g750-739p-91.jpg,family - Transocean,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/3302421-de.jpg,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/326858j-a3.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Blue,dialIndexes - Arabic Numerals,dialHands - Dauphine,movementType - Quartz,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/2712510-d9.png,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/2712110-80.jpg,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/a1036012ba91743p-7a.jpg,family - Transocean,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Black,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/br0192heading-8a.jpg,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/3908420-e4.jpg,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Dauphine,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/3848420-4c.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Baton,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/2702121-13.jpg,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/278852j-3a.jpg,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/2788570-87.jpg,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Black,dialIndexes - Stick  Dot,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/a1931012-g750-222a-73.jpg,family - Transocean,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/br0192airspeed-19.jpg,family - Instruments,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Square,dialColor - Black,dialIndexes - Mixed,dialHands - Sword,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Se
 gs://ram594/final_images/2608412-7e.jpg,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/mj3v2ll-a3.jpg,family - Watch,caseMaterial - Stainless steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Black,dialIndexes - Mixed,dialHands - Proprietary ,movementType - Processor,movementDisplay - Digital,movementTime - Hours Minutes Se
 gs://ram594/final_images/2438522-b3.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Baton,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/3958420-a4.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Dauphine,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes Ad
 gs://ram594/final_images/a4131012c862171a-67.jpg,family - Transocean,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Round,dialColor - Blue,dialIndexes - Stick  Dot,dialHands - Stick,movementType - Automatic,movementDisplay - Analog,movementTime - Hours Minutes Sm
 gs://ram594/final_images/2618412-a3.png,family - Reverso,caseMaterial - Stainless Steel,caseGlass - Sapphire,caseBack - Closed,caseShape - Rectangular,dialColor - Silver,dialIndexes - Arabic Numerals,dialHands - Sword,movementType - Quartz,movementDisplay - Analog,movementTime - Hours Minutes
 gs://ram594/final_images/3352420-8e.png,family - Reverso,caseMaterial - Pink gold,caseGlass - Sapphire,caseBack - Double Dial,caseShape - Rectangular,dialColor - Silver,dialIndexes - Stick  Dot,dialHands - Dauphine,movementType - Handwound,movementDisplay - Analog,movementTime - Hours Minutes
