Short_Name,School_Type,Primary_Category,Zip,Excelerate_Award_Gold_Year,Student_Attainment_Rating,Attainment_Reading_Pct_ES,Attainment_Reading_Lbl_ES,Attainment_Math_Pct_ES,Attainment_Math_Lbl_ES,Culture_Climate_Rating,School_Survey_Student_Response_Rate_Pct,School_Survey_Teacher_Response_Rate_Pct,School_Survey_Parent_Response_Rate_Pct,Healthy_School_Certification,Healthy_School_Certification_Description,Creative_School_Certification,Creative_School_Certification_Description,NWEA_Reading_Attainment_Grade_2_Pct,NWEA_Reading_Attainment_Grade_2_Lbl,NWEA_Reading_Attainment_Grade_3_Pct,NWEA_Reading_Attainment_Grade_3_Lbl,NWEA_Reading_Attainment_Grade_4_Pct,NWEA_Reading_Attainment_Grade_4_Lbl,NWEA_Reading_Attainment_Grade_5_Pct,NWEA_Reading_Attainment_Grade_5_Lbl,NWEA_Reading_Attainment_Grade_6_Pct,NWEA_Reading_Attainment_Grade_6_Lbl,NWEA_Reading_Attainment_Grade_7_Pct,NWEA_Reading_Attainment_Grade_7_Lbl,NWEA_Reading_Attainment_Grade_8_Pct,NWEA_Reading_Attainment_Grade_8_Lbl,NWEA_Math_Attainment_Grade_2_Pct,NWEA_Math_Attainment_Grade_2_Lbl,NWEA_Math_Attainment_Grade_3_Pct,NWEA_Math_Attainment_Grade_3_Lbl,NWEA_Math_Attainment_Grade_4_Pct,NWEA_Math_Attainment_Grade_4_Lbl,NWEA_Math_Attainment_Grade_5_Pct,NWEA_Math_Attainment_Grade_5_Lbl,NWEA_Math_Attainment_Grade_6_Pct,NWEA_Math_Attainment_Grade_6_Lbl,NWEA_Math_Attainment_Grade_7_Pct,NWEA_Math_Attainment_Grade_7_Lbl,NWEA_Math_Attainment_Grade_8_Pct,NWEA_Math_Attainment_Grade_8_Lbl,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Misconducts_To_Suspensions_Year_1_Pct,Average_Length_Suspension_Year_1_Pct,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Student_Attendance_Year_1_Pct,Teacher_Attendance_Year_1_Pct,Progress_Toward_Graduation_Year_1,Progress_Toward_Graduation_Year_2,Chronic_Truancy_Pct,Supportive_School_Award,School_Latitude,School_Longitude
NOBLE - BAKER HS,Charter,HS,"60,617",,BELOW EXPECTATIONS,,,,,WELL ORGANIZED,71.8,90.6,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRONG,STRONG,VERY STRONG,STRONG,STRONG,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,88.8,,"2,017","2,018",69.5,NOT RATED,41.734622,-87.556201
WARD L,Neighborhood,ES,"60,624",2018,BELOW AVERAGE,12,12th,14,14th,WELL ORGANIZED,83.1,83.8,35%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",3,3rd,4,4th,4,4th,5,5th,18,18th,63,63rd,51,51st,4,4th,3,3rd,2,2nd,6,6th,14,14th,61,61st,51,51st,STRONG,NEUTRAL,VERY STRONG,NEUTRAL,STRONG,VERY WEAK,18.3,38,1.9 days,NEUTRAL,NEUTRAL,STRONG,91.1,93.4,"2,017","2,018",38.5,EMERGING,41.893236,-87.718797
SKINNER NORTH,Classical,ES,"60,610",,FAR ABOVE AVERAGE,99,99th,99,99th,ORGANIZED,97.7,77.4,30%,Not Achieved,Students learn better at healthy schools! This school achieved Healthy CPS and demonstrates a commitment to a healthy learning environment. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",99,99th,99,99th,99,99th,99,99th,99,99th,99,99th,99,99th,99,99th,99,99th,99,99th,99,99th,99,99th,99,99th,99,99th,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,STRONG,0.2,1.5,1.0 days,NEUTRAL,VERY WEAK,VERY WEAK,96.1,95.8,"2,017","2,018",4.9,EXEMPLARY,41.905109,-87.644841
BRENTANO,Neighborhood,ES,"60,647",2018,AVERAGE,65,65th,64,64th,WELL ORGANIZED,64.4,88.9,41%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",56,56th,75,75th,75,75th,45,45th,50,50th,67,67th,83,83rd,26,26th,59,59th,30,30th,85,85th,75,75th,87,87th,85,85th,STRONG,WEAK,VERY STRONG,STRONG,STRONG,WEAK,3,37.8,1.8 days,VERY STRONG,STRONG,STRONG,94.7,96.9,"2,017","2,018",17.8,ESTABLISHED,41.930966,-87.696294
WACKER,Neighborhood,ES,"60,643",2018,AVERAGE,63,63rd,62,62nd,ORGANIZED,93.2,70.8,60%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",52,52nd,75,75th,60,60th,67,67th,33,33rd,79,79th,72,72nd,54,54th,71,71st,72,72nd,79,79th,22,22nd,81,81st,66,66th,NEUTRAL,VERY STRONG,VERY STRONG,NEUTRAL,NEUTRAL,STRONG,3.5,41.7,3.3 days,STRONG,STRONG,STRONG,96.2,93.6,"2,017","2,018",30.8,NOT RATED,41.716193,-87.648044
CICS - CHICAGOQUEST HS,Charter,HS,"60,610",,FAR BELOW EXPECTATIONS,,,,,WELL ORGANIZED,50.4,65.5,30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRONG,STRONG,VERY STRONG,NEUTRAL,VERY STRONG,NEUTRAL,,,,VERY STRONG,VERY STRONG,STRONG,81.9,,"2,017","2,018",84.5,NOT RATED,41.907797,-87.645561
METCALFE,Neighborhood,ES,"60,628",2018,FAR BELOW AVERAGE,9,9th,8,8th,ORGANIZED,82.1,52.2,54%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",1,1st,1,1st,10,10th,11,11th,6,6th,12,12th,60,60th,1,1st,1,1st,4,4th,4,4th,3,3rd,12,12th,55,55th,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,2.5,30.3,1.6 days,STRONG,NEUTRAL,STRONG,95.1,94.4,"2,017","2,018",24.4,EMERGING,41.669444,-87.634306
U OF C - DONOGHUE,Charter,ES,"60,653",,AVERAGE,41,41st,43,43rd,WELL ORGANIZED,0,87.5,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",38,38th,46,46th,46,46th,28,28th,,,,,,,42,42nd,54,54th,42,42nd,33,33rd,,,,,,,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96.7,,"2,017","2,018",21.5,NOT RATED,41.827726,-87.608501
TONTI,Neighborhood,ES,"60,629",2018,AVERAGE,58,58th,65,65th,PARTIALLY ORGANIZED,0,75.3,49%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",55,55th,51,51st,66,66th,60,60th,,,,,,,37,37th,72,72nd,80,80th,67,67th,,,,,,,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,WEAK,NOT ENOUGH DATA,0.2,10.5,2.5 days,NEUTRAL,VERY STRONG,STRONG,95.3,96,"2,017","2,018",19.6,NOT RATED,41.787523,-87.708179
NOBLE - MANSUETO HS,Charter,HS,"60,632",,ABOVE EXPECTATIONS,,,,,WELL ORGANIZED,55.6,92.6,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,INCOMPLETE DATA,"This school has an arts designation of Incomplete Data, and may or may not meet the goals and priorities of the CPS Arts Education Plan, but the school has insufficient data available to complete an assessment. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,STRONG,NEUTRAL,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,91.7,,"2,017","2,018",17.3,NOT RATED,41.800136,-87.728003
U OF C - WOODLAWN HS,Charter,HS,"60,637",,FAR BELOW EXPECTATIONS,62,62nd,38,38th,PARTIALLY ORGANIZED,81.6,73.7,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,58,58th,68,68th,62,62nd,,,,,,,,,35,35th,50,50th,33,33rd,NEUTRAL,NEUTRAL,STRONG,WEAK,WEAK,VERY WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94,,"2,017","2,018",43.9,NOT RATED,41.77813,-87.598114
NOBEL,Neighborhood,ES,"60,651",2018,AVERAGE,52,52nd,52,52nd,WELL ORGANIZED,92.3,68.3,61%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",20,20th,20,20th,62,62nd,33,33rd,60,60th,78,78th,77,77th,21,21st,33,33rd,68,68th,45,45th,51,51st,70,70th,65,65th,STRONG,WEAK,STRONG,STRONG,VERY STRONG,VERY WEAK,6.3,27.7,1.3 days,STRONG,VERY STRONG,STRONG,94.3,95.4,"2,017","2,018",26.7,NOT RATED,41.906155,-87.729955
YCCS - TRUMAN,Charter,HS,"60,640",,FAR BELOW EXPECTATIONS,,,,,ORGANIZED,96,99.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEAK,STRONG,STRONG,NEUTRAL,NEUTRAL,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,71.1,,"2,017","2,018",155,NOT RATED,41.965295,-87.659239
U OF C - NKO,Charter,ES,"60,653",,AVERAGE,66,66th,63,63rd,PARTIALLY ORGANIZED,0,99.9,42%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",76,76th,54,54th,72,72nd,61,61st,,,,,,,68,68th,41,41st,71,71st,72,72nd,,,,,,,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,WEAK,NOT ENOUGH DATA,,,,STRONG,STRONG,NEUTRAL,95.4,,"2,017","2,018",22.7,NOT RATED,41.811183,-87.598786
MORTON,Neighborhood,ES,"60,612",2018,AVERAGE,55,55th,54,54th,WELL ORGANIZED,61.4,75,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",14,14th,73,73rd,63,63rd,61,61st,40,40th,62,62nd,76,76th,21,21st,90,90th,73,73rd,41,41st,35,35th,30,30th,78,78th,NEUTRAL,STRONG,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,6.3,21.7,1.8 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.9,95.9,"2,017","2,018",27.7,EMERGING,41.889178,-87.705108
YCCS - MCKINLEY,Charter,HS,"60,616",,FAR BELOW EXPECTATIONS,,,,,PARTIALLY ORGANIZED,70.1,99.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,VERY WEAK,VERY WEAK,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,61.9,,"2,017","2,018",167.8,NOT RATED,41.841331,-87.625331
CHICAGO MATH & SCIENCE HS,Charter,HS,"60,626",,MET EXPECTATIONS,64,64th,78,78th,WELL ORGANIZED,83,73.6,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,41,41st,66,66th,76,76th,,,,,,,,,40,40th,77,77th,92,92nd,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,VERY WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.8,,"2,017","2,018",19,NOT RATED,42.013031,-87.674818
