State,County,FIPS,Total Population,"Percent White, not Hispanic or Latino","Percent Black, not Hispanic or Latino",Percent Hispanic or Latino,Percent Foreign Born,Percent Female,Percent Age 29 and Under,Percent Age 65 and Older,Median Household Income,Percent Unemployed,Percent Less than High School Degree,Percent Less than Bachelor's Degree,Percent Rural,Democratic,Republican,Party
CT,middlesex,9007,164438,84.73892896,4.664980114,5.641031878,7.652732337,51.09889442,33.24170812,17.70393705,79837,5.257634814,6.153443752,59.07154127,24.54006615,42383,32836,1
CT,new haven,9009,860874,64.78276728,12.17727565,16.79095896,12.0734277,51.75995558,37.98256191,15.60449032,62715,8.54548255,10.50319725,65.71179984,3.639981124,179714,126004,1
CT,tolland,9013,151689,85.8921873,2.811673885,5.029369302,6.76911312,49.96736744,42.30102381,13.86850727,80129,6.267325118,6.214203294,61.14024966,38.2078839,34732,28046,1
CT,windham,9015,117078,83.78260647,1.866277183,10.87736381,5.269990946,50.42279506,37.38960351,14.57148226,60689,8.37552415,11.92523921,76.14331633,49.76103624,20490,19032,1
DE,sussex,10005,211224,74.82909139,12.28458887,9.195924706,6.671116919,51.49556869,31.74686589,24.21457789,54218,7.108621352,13.7924814,76.1150662,41.30360902,40675,50391,0
FL,alachua,12001,256581,62.46019775,19.50456191,8.994820349,10.14455474,51.67062253,48.55152954,12.43077235,44702,7.020153665,7.468058656,58.4850398,21.19343727,74493,40599,1
FL,baker,12003,27312,82.08845929,13.87668424,2.317662566,1.475541886,47.71528998,41.34446397,12.91007616,53327,6.832522084,17.87112652,87.23570869,59.49105661,1945,8579,0
FL,bay,12005,178361,77.68738682,10.52752564,5.728270194,5.479897511,50.28005001,37.73919186,16.10385678,48577,7.475668322,11.32010117,77.4661275,11.99985786,16723,46681,0
FL,bradford,12007,26919,74.78732494,19.25034362,3.79657491,2.306920762,44.7416323,35.34306624,17.45235707,43373,10.56331153,23.21299639,88.22073234,75.52945302,2879,7576,0
FL,brevard,12009,560683,75.79880253,9.838001152,9.301690973,8.632685493,51.14084072,31.97261198,22.49114027,49914,9.278022592,8.823707831,72.2714666,5.074386797,121112,160305,0
FL,broward,12011,1863780,39.24535085,27.21463907,27.56484134,32.71571752,51.37650366,36.70197126,15.37187866,52954,8.71031197,11.68872489,68.9842688,0.016932999,472239,211397,1
FL,charlotte,12015,169642,84.64354346,5.535775339,6.632201931,10.18556725,51.26089058,22.38891312,37.62275851,44865,10.08897886,10.5788901,78.3960827,8.884346598,33525,52916,0
FL,citrus,12017,140453,88.87101023,2.817312553,5.121998106,5.413910703,51.6678177,24.5818886,35.10569372,39054,11.6480122,13.28890807,82.15435529,34.51881956,22660,48008,0
FL,collier,12021,348236,64.22253874,6.775003159,26.63452371,23.81689429,50.88129889,29.99890879,29.58970353,59783,6.408868265,14.32153964,66.11896974,8.485941777,54390,101266,0
FL,desoto,12027,35134,55.04070131,12.90487847,30.68822223,17.50441168,43.34547732,37.51351967,19.40855012,35513,8.291825374,29.47575039,89.96074262,46.24232689,3328,5503,0
FL,dixie,12029,16084,85.04103457,7.504352151,3.78015419,2.785376772,45.41780652,31.23601094,21.72966924,34634,5.306200076,22.23608685,93.60286166,77.02472293,1322,4442,0
FL,duval,12031,900890,54.71766808,29.01564009,8.632685455,9.721719633,51.55834786,41.00234213,12.72175293,49196,8.607117739,11.09163746,71.91066205,2.911498005,192381,185904,1
FL,escambia,12033,309574,65.21962439,21.53281606,5.389987531,4.747491714,50.29944375,41.36458488,15.77458055,46117,8.297930226,10.0537233,75.11698603,8.302225328,52891,75947,0
FL,flagler,12035,102917,74.99732794,10.40644403,9.793328605,11.77162179,51.9904389,29.04476423,28.30047514,48898,7.630207696,8.925085644,76.67765497,10.32122555,21419,31467,0
FL,franklin,12037,11705,78.32550192,14.06236651,5.117471166,3.237932507,42.97308842,31.41392567,19.93165314,40301,9.233044581,20.3976765,83.2663092,68.04052299,2011,3404,0
FL,gadsden,12039,46153,32.88410288,55.27051329,10.02751717,5.152427795,52.63146491,36.93367712,15.28178017,38533,9.56728641,21.16418755,82.51831819,65.37972364,13945,6051,1
FL,gilchrist,12041,17033,87.2952504,5.988375506,5.336699348,2.906123408,47.39035989,38.30799037,19.56789761,40881,9.732219983,17.29402474,87.65464596,83.91876734,1633,5703,0
FL,glades,12043,13420,60.88673621,12.12369598,20.99105812,12.24292101,45.83457526,32.09388972,25.89418778,34143,13.25041856,25.59774965,91.11914808,70.63800062,1156,2666,0
FL,gulf,12045,15851,73.83130402,18.37108069,4.80726768,1.968330074,41.83332282,31.60052994,17.86007192,40822,9.223300971,17.4706757,83.28927804,77.08504066,1580,4321,0
FL,hamilton,12047,14362,54.72775379,33.49115722,9.030775658,3.641554101,41.67246902,38.83163905,15.39479181,38980,13.99778516,24.99491973,89.79882138,63.48401919,1671,2856,0
FL,hendry,12051,38376,33.88836773,11.31436314,51.13873254,27.30873463,46.97988326,44.80404419,12.75276214,37552,10.14084507,37.1358004,90.86152043,37.89218191,3542,5304,0
FL,hillsborough,12057,1323059,51.24669421,15.57209467,26.62730838,16.12460215,51.26853753,40.48829266,13.08581099,51681,7.894381277,12.19623592,68.56670379,3.512860939,281661,239641,1
FL,holmes,12059,19569,87.37799581,7.930911135,1.584138178,1.737441872,46.53278144,35.20874853,18.86146456,37437,13.07754661,21.73975557,87.6635514,78.7725197,856,5919,0
FL,indian river,12061,145342,76.37847284,8.828831308,11.79493883,10.20489604,51.97671698,28.85814149,30.18053969,47446,10.32785795,12.4316021,72.83262739,4.967832614,29195,44798,0
FL,jackson,12063,48721,65.67393937,26.53886414,4.597606781,3.372262474,44.58036576,33.96071509,17.73567866,35470,12.25544076,21.61498744,86.3104139,75.36284324,5182,10791,0
FL,lafayette,12067,8742,69.26332647,16.49508122,12.85746969,4.323953329,42.6332647,36.9480668,13.8183482,36236,15.03834612,25.22875817,86.38888889,100,623,2195,0
FL,lake,12069,317586,71.89170807,9.655652327,13.80791345,8.037822826,51.63672202,31.86129111,25.94006033,47141,8.243018459,12.22040465,78.33146793,19.25386801,61402,93537,0
FL,leon,12073,284788,57.36863913,30.79905052,6.081365788,6.963425425,52.42706856,49.59654199,11.34633482,48248,9.5862482,7.403477464,54.75739745,12.30947377,91097,48767,1
FL,madison,12079,18560,54.48275862,38.44288793,4.827586207,3.674568966,47.46767241,36.14762931,18.06573276,29806,12.37322515,17.29385932,87.65806012,80.0093633,3425,4184,0
FL,manatee,12081,353411,72.06340493,8.668094655,15.67014043,12.20307234,51.67694271,31.68633687,25.48449256,51483,7.506802981,11.5215977,72.12604851,5.790300248,68877,94390,0
FL,marion,12083,340341,71.97810431,12.26563946,11.92304189,7.176919619,51.92733171,31.17902339,27.81416285,40295,10.10514019,13.58649956,81.61695883,31.02825855,59025,95592,0
FL,martin,12085,153592,79.36285744,5.304312725,12.87632168,10.1274806,50.62438148,27.86147716,29.35569561,52622,8.433575677,9.98488297,68.46400788,8.476742438,30691,46733,0
FL,miami-dade,12086,2664418,14.4673621,16.64746297,66.42812802,52.22986784,51.47968524,37.09222802,15.24295362,44224,8.535768104,19.37577456,72.71836471,0.404376641,485496,316020,1
FL,monroe,12087,77150,68.32404407,6.618276086,22.50680493,17.81205444,46.97213221,28.56383668,20.37848347,60303,4.924678565,8.989833225,68.92873241,8.713914352,18051,18035,1
FL,nassau,12089,77187,87.51214583,6.222550429,3.785611567,3.257025147,50.58882973,33.11956677,19.89583738,59196,7.550701156,9.074445959,75.47335581,48.14632949,11703,31795,0
FL,okeechobee,12093,39420,63.7645865,8.490613902,25.08878742,12.09030949,45.95129376,38.0339929,17.75240994,36415,11.22018711,28.14724199,89.27565243,36.54865487,3496,7727,0
FL,orange,12095,1256055,42.65696964,19.98121101,29.33812612,20.15731795,50.82755134,43.00512318,10.74109016,49391,8.072222576,12.31919094,68.07715005,2.042137744,294308,180763,1
FL,osceola,12097,311962,35.52868619,9.359473269,50.24009334,19.16739859,50.79560972,41.8579827,12.58037838,45536,8.316231343,14.29267045,81.3234701,7.821054395,67123,47898,1
FL,pinellas,12103,939548,75.25043957,10.03780541,8.849468042,11.46466173,52.02884791,29.97707408,22.97796387,47090,7.349105692,9.603124574,70.48908519,0.284002261,228712,205935,1
FL,polk,12105,637691,61.9199581,14.62934242,19.73385229,9.870297683,51.00652197,37.67451634,19.46162013,44146,9.550372841,16.00861795,80.53917073,13.51049253,105748,138751,0
FL,putnam,12107,72304,71.86739323,16.36285683,9.544423545,4.221066608,50.60992476,35.01466032,21.11639743,33003,11.42572567,21.58968218,87.32062582,56.1629283,9344,18689,0
FL,santa rosa,12113,163903,83.07657578,5.624058132,5.112170003,4.473377546,48.8038657,37.87056979,14.37435556,60652,7.083581928,9.830905238,73.1115387,20.98935074,19047,56374,0
FL,sarasota,12115,398011,83.68989802,4.425505828,8.601269814,12.2453902,52.27016339,25.09051257,34.00207532,52796,7.129594588,7.439797816,66.94196748,4.320486602,96973,113585,0
FL,seminole,12117,442905,63.37950576,10.57879229,19.25740283,12.34553685,51.72034635,37.80652736,14.29335862,58538,8.001822952,6.617800229,64.15445006,3.157660663,101504,97457,1
FL,st. johns,12109,218362,84.05079638,5.064067924,6.129271577,6.886271421,51.45354961,34.50462993,18.06495636,69523,6.0282317,5.339414206,57.52540564,23.77354122,45638,85031,0
FL,st. lucie,12111,293136,59.30046122,19.22111238,17.65835653,16.12869112,51.21752361,34.02038644,22.55676546,44140,9.883998951,14.18791594,80.16792691,3.357224368,63978,59612,1
FL,suwannee,12121,43653,75.57098023,13.46528303,8.746248826,5.694912148,50.81895861,35.37443017,20.06276774,37796,10.29683045,20.86442988,87.96158089,83.16767346,4044,11842,0
FL,taylor,12123,22582,72.17252679,21.3267204,3.440793552,2.847400585,44.32734036,35.74528385,17.75307767,36195,7.664422579,21.29289216,90.17156863,69.28223305,2263,5638,0
FL,union,12125,15159,70.17613299,22.10567979,5.415924533,2.88937265,35.07487301,35.76753084,12.75150076,37778,10.52870433,25.63870266,92.39898532,67.44769874,1197,3650,0
FL,wakulla,12129,31314,79.05090375,15.00287411,3.678865683,1.970364693,44.19109663,35.4090822,12.86644951,54078,7.073153851,12.3156904,83.35947654,61.67793086,4868,9322,0
FL,walton,12131,61528,84.44773111,4.950591601,5.888376024,5.759979196,49.34988948,33.16538812,18.78331816,46910,7.295473714,15.08397356,73.69126318,63.12519303,7485,22776,0
FL,washington,12133,24627,77.60994031,15.68603565,3.439314573,2.716530637,45.4826004,34.9819304,17.49299549,38330,9.843214619,20.1793722,89.01629108,84.55173522,1959,7101,0
HI,hawaii,15001,193680,30.40169352,0.547810822,12.40551425,11.00371747,50.14301941,36.00888063,17.58054523,53936,7.437631666,8.362325585,72.4089791,37.99080393,43348,15031,1
HI,honolulu,15003,986999,18.88421366,2.178624294,9.385521161,19.26658487,49.64341403,39.64370785,15.85614575,77161,5.099698825,8.945779825,66.64935404,0.862876584,176705,79503,1
HI,kauai,15007,70447,29.73724928,0.62884154,10.65481852,15.99784235,50.06742658,35.42805229,17.37902253,68224,5.074594359,8.083578718,72.20967287,12.86014518,18510,6120,1
HI,maui,15009,162456,30.80095534,0.46843453,10.86817354,18.95713301,50.09848821,35.94019304,15.26567194,68777,6.011208494,8.176045467,74.30185237,14.56785977,37753,11381,1
IN,adams,18001,34813,93.74084394,0.70950507,4.403527418,0.901961911,50.38922242,45.3135323,14.45724298,47572,5.462632337,15.75780728,84.39022061,53.67435368,3146,7511,0
IN,allen,18003,365565,74.92374817,11.33095346,7.060303913,6.367403882,51.21961895,42.487109,13.11203206,49574,7.048080427,10.79813604,72.63029448,11.87969459,55903,65927,0
IN,blackford,18009,12364,95.9236493,0.606599806,1.423487544,1.205111614,50.38013588,35.27984471,19.81559366,38791,8.328995315,13.02298851,89.03448276,50.61099796,1275,2303,0
IN,boone,18011,61884,92.08519165,1.304052744,2.590330295,3.595436623,50.56234245,39.53364359,12.65432099,72774,3.288526899,6.836872468,55.48545477,34.40501412,10981,15540,0
IN,carroll,18015,20007,94.24701355,0.449842555,3.938621482,2.754036087,50.22242215,35.79747089,17.75878443,54140,6.916054773,12.04392746,82.57351347,81.40411808,2071,4518,0
IN,cass,18017,38324,81.11366246,1.458616011,14.06690325,8.76474272,49.83039349,38.00751487,16.177852,43918,7.576882291,17.18140002,86.05001739,44.66714572,4061,6617,0
IN,clark,18019,113993,84.27096401,6.909196179,5.116980867,3.197564763,51.31981788,38.05760003,14.20964445,51844,6.210695822,12.10564556,79.8014047,20.514914,18551,22766,0
IN,clay,18021,26568,96.57106293,0.240891298,1.294790726,0.316169828,51.13294188,37.59786209,16.444595,49735,6.447603511,10.26413854,83.07211749,60.88880625,2601,6207,0
IN,crawford,18025,10582,96.48459648,0.17955018,1.455301455,0.245700246,49.36684937,35.21073521,17.26516727,41173,6.277056277,17.30743289,90.20639417,100,1504,2252,0
IN,dearborn,18029,49552,96.37956087,0.8415402,1.178559897,1.190668389,50.01210849,36.5797546,15.10130772,60834,7.104113304,9.365994236,80.03587602,53.05812536,4481,13287,0
IN,decatur,18031,26340,95.29612756,0.565679575,1.845102506,1.495823842,50.52012149,38.72817008,15.71374336,51185,5.260837619,10.93211237,81.82126505,53.7956488,2287,6246,0
IN,dekalb,18033,42489,95.25053543,0.221233731,2.692461578,1.310927534,50.24123891,39.32311892,14.74263927,50398,6.221155621,10.27092028,82.63068544,42.2992208,4204,9167,0
IN,delaware,18035,116463,87.37281368,5.992461125,2.130290307,2.020384156,51.91262461,44.85201309,16.04887389,39537,9.354614851,10.47719595,76.71452703,22.81190778,18159,17447,1
IN,dubois,18037,42345,91.59995277,0.417995041,6.685559098,4.531821939,49.97520368,37.80139332,15.95938127,55154,2.88726755,12.02296758,80.27098943,49.24681897,5264,11204,0
IN,fayette,18041,23608,95.94205354,2.448322603,0.978481871,0.673500508,50.67773636,35.57692308,18.46407997,40851,9.156879595,18.752662,89.32156982,36.78378712,2295,4704,0
IN,floyd,18043,76290,88.49259405,5.110761568,2.975488268,2.50753703,51.6096474,37.8542404,14.47896186,57494,6.415271863,10.63677926,73.07239723,20.32771058,14070,16588,0
IN,fountain,18045,16741,95.70515501,0.400215041,2.359476734,1.547099934,49.77002569,35.89988651,18.94152082,45924,7.978789,12.0321549,85.53894027,65.9512761,1496,4060,0
IN,franklin,18047,22887,97.21239131,0.332066238,1.092323153,1.109800323,49.94538384,36.9598462,15.79499279,52128,5.972448019,12.59908487,80.85325772,88.85953134,1619,5614,0
IN,fulton,18049,20412,92.44562022,0.901430531,4.869684499,2.880658436,50.57319224,36.89006467,17.67097786,46310,5.970149254,15.14026697,86.28024841,64.92129007,2539,4154,0
IN,grant,18053,68269,85.5512751,6.872811964,4.060408092,1.548286924,52.0646267,39.6563594,17.65515827,40272,8.08988764,13.49470905,83.27479362,28.91337549,6745,12393,0
IN,greene,18055,32633,96.91723102,0.288051972,1.241074985,0.530138204,50.30490608,35.48248705,18.14420985,45153,6.19563052,14.39550305,85.65280401,74.84396201,3313,6949,0
IN,hamilton,18057,303042,84.83147551,3.537793441,3.745355429,7.48576105,51.14406584,40.92832017,10.51372417,87782,3.510980895,4.03009245,43.71912347,5.635377628,61337,72325,0
IN,hancock,18059,71955,93.36668751,2.033215204,2.083246473,1.830310611,51.13612675,37.75693142,14.77312209,68449,4.890815841,5.847772913,71.01806746,30.44627296,9770,19097,0
IN,harrison,18061,39370,95.96647193,0.071120142,1.668783338,1.158242316,50.01778004,35.79121158,16.13411227,52926,6.650334303,11.33408603,83.09720654,85.84747485,5131,9847,0
IN,hendricks,18063,155817,86.37953497,5.878691029,3.525289282,4.660595442,50.08118498,39.56371898,12.36642985,73042,5.002108307,6.50233827,65.30884645,17.84692811,23599,36966,0
IN,howard,18067,82728,86.07605647,6.946862006,3.053379751,2.07547626,51.64877671,36.69011701,17.92017213,45928,7.613242195,11.50875476,80.45119351,21.53543117,11159,16736,0
IN,huntington,18069,36696,95.41911925,0.768476128,2.05471986,1.577828646,50.84205363,38.37747983,15.92544147,47042,5.157878201,9.852870236,81.13442676,50.95625471,3699,8879,0
IN,jackson,18071,43637,89.90077228,0.531658913,6.134702202,5.048468043,50.331141,38.18319316,15.25540253,48546,5.569018548,12.94861821,83.83114028,43.7323013,4198,9431,0
IN,jasper,18073,33461,91.80239682,0.878634829,5.905382385,2.459579809,50.52150264,38.9289023,15.60025104,55485,6.384941871,13.00117128,83.45796919,68.03871199,3278,6987,0
IN,jay,18075,21196,95.22079638,0.367993961,2.967541045,1.226646537,50.92470277,39.76693716,16.61634271,42322,7.559331966,15.87221823,89.10983489,55.65331953,1933,3990,0
IN,jefferson,18077,32482,93.27627609,1.930299858,2.462902531,1.514685056,52.45674527,37.76553168,16.03965273,47065,7.362161463,13.10699495,82.95635553,45.0968299,4313,6345,0
IN,johnson,18081,147567,90.78045905,2.01806637,3.334078757,4.322782194,50.85147763,40.27933074,13.72800152,63023,5.452840998,8.498984553,70.49869736,13.89648703,17479,32540,0
IN,lagrange,18087,38395,94.45240266,0.223987498,3.896340669,1.62260711,49.31892173,48.66779529,12.63185311,53947,4.074096134,35.71558714,88.80386262,91.61549235,2217,5183,0
IN,lake,18089,489698,54.60263264,24.24412597,18.03989398,6.718834874,51.6220201,39.49189092,14.59511781,50905,9.582728363,12.41177139,79.11213675,3.96810516,104390,54564,1
IN,laporte,18091,110993,80.15280243,10.85293667,6.078761724,3.114610831,48.30304614,36.99242295,15.7127026,48165,8.793116753,12.46642009,82.41256246,35.62758485,20014,16008,1
IN,lawrence,18093,45696,96.02153361,0.350140056,1.516544118,1.507790616,50.49019608,35.45605742,18.01032913,46044,5.63057908,11.60549454,85.65662255,58.44713227,4434,10274,0
IN,madison,18095,129862,85.53079423,7.747454991,3.707012059,1.838105065,49.96534783,37.12402396,16.91487887,44795,7.827960554,12.52995931,82.60743548,23.08866875,18701,22841,0
IN,marion,18097,932142,57.32345501,27.11035443,9.832836628,8.680437101,51.83909748,43.45561084,11.30664641,43369,9.01366109,14.3440028,70.9789675,0.600181759,197880,98385,1
IN,marshall,18099,46833,88.35436551,0.604274764,9.313945295,4.490423419,50.32989559,39.26077766,16.24922597,49725,7.656612529,15.52728685,81.46889364,63.3461563,5619,8747,0
IN,martin,18101,10218,97.19123116,0.411039342,0.215306322,0.528479154,49.95106674,35.3983167,17.05813271,47457,5.369127517,15.61228784,88.62393043,72.28565899,1127,2997,0
IN,monroe,18105,143292,84.50576445,3.023197387,3.260475114,8.080702342,50.25123524,51.99243503,11.27557714,43389,6.617676057,7.772656308,54.85589671,21.24820618,34193,15540,1
IN,montgomery,18107,38108,92.48714181,0.892201113,4.59483573,2.883908891,49.4226934,38.39351317,16.84423218,50253,5.43772094,11.47316539,83.24988265,52.7541706,3518,8362,0
IN,morgan,18109,69504,96.42754374,0.340987569,1.408552026,1.215757366,50.5136395,37.143186,15.00057551,57521,6.373087651,11.58594492,84.46976891,49.1378059,6471,17539,0
IN,ohio,18115,6003,96.8015992,2.315508912,0.616358487,0.33316675,49.97501249,32.20056638,19.39030485,54653,5.910852713,11.40510949,86.15419708,100,747,1586,0
IN,owen,18119,21038,96.53008841,0.470577051,1.169312672,1.269132047,49.30601768,34.32835821,17.30202491,45388,6.81390512,15.72672472,87.99062291,100,2210,4601,0
IN,parke,18121,17033,94.92749369,1.849351259,1.432513356,0.986320672,52.50983385,35.9889626,17.11383784,42664,7.00864079,14.52927478,88.21523619,74.97548878,1499,3532,0
IN,perry,18123,19301,94.46660795,3.087922906,1.227915652,0.911869851,46.55199212,35.9515051,16.7348842,47396,4.12371134,13.03612153,86.5739719,55.04188644,3364,3450,0
IN,pike,18125,12554,96.9093516,0.796558866,0.446072965,1.378046838,50,34.81758802,18.72709893,48076,3.900536324,13.70034052,87.38933031,100,1679,3235,0
IN,porter,18127,167016,84.3248551,3.260166691,9.377544666,3.956507161,50.65382957,38.1993342,14.39143555,64874,6.291125787,8.267956803,73.87385794,20.75293745,33390,29368,1
IN,posey,18129,25527,96.29803737,1.347592745,1.06945587,0.564108591,49.95886708,36.17738081,16.39440592,59918,4.582524272,5.683424758,79.43787819,66.761868,3881,6324,0
IN,pulaski,18131,12910,94.77149497,0.209140201,2.788536019,0.805577072,49.31061193,36.01859024,18.08675445,44884,7.046070461,12.93103448,89.33049709,80.94314281,1617,2583,0
IN,randolph,18135,25403,93.95347006,0.929024131,3.224028658,1.51950557,51.39944101,36.66496083,18.63165768,42418,6.386485373,13.60376384,86.92982959,61.86618777,2467,5138,0
IN,ripley,18137,28633,95.81601648,0.39464953,1.74623686,1.672894911,50.62340656,37.40090106,17.11312122,52372,6.571488558,13.20162577,82.55903689,83.24311194,2350,6880,0
IN,rush,18139,16873,96.32549043,1.149765898,1.42831743,1.060866473,50.97493036,36.74509572,17.41243407,46380,5.65898163,15.39853511,85.97156398,61.16030359,1690,3991,0
IN,scott,18143,23734,96.31330581,0.219094969,1.849667144,1.369343558,50.82160613,37.07339681,15.90545209,46368,6.746424395,15.39074471,87.01195219,52.71494148,3113,4241,0
IN,shelby,18145,44404,92.81145843,1.290424286,3.934330241,2.16196739,50.65309432,37.08224484,15.51887217,52651,7.716916692,12.25711482,83.36604514,52.0478891,4333,9340,0
IN,st. joseph,18141,267696,74.03397884,12.74580121,8.142445162,6.312757755,51.49348515,41.85680772,14.33342299,46174,7.549116354,12.28626626,71.75456302,9.001577187,53758,36456,1
IN,starke,18149,23069,94.63349083,0.416142876,3.454852833,1.647232216,50.75209155,36.81564004,16.84511682,43401,9.468074983,17.13149924,88.38970217,82.38239952,3119,4149,0
IN,steuben,18151,34279,94.11884827,0.247965227,3.357740891,2.170425042,49.23714227,37.20061845,17.21170396,50418,5.936825361,11.52228042,80.05494977,67.24879333,3864,7839,0
IN,sullivan,18153,21026,92.30476553,4.418339199,1.664605726,0.799010749,46.14287073,35.60829449,16.31313612,43786,5.646527386,13.62448925,87.34007636,78.96158324,2663,4340,0
IN,tippecanoe,18157,183397,77.76135924,4.663653168,7.976139195,11.01217577,48.8683021,52.92289405,10.24498765,47406,6.173974615,9.26073053,64.7228236,14.50109966,26376,22649,1
IN,tipton,18159,15447,95.65611446,0.168317473,2.479445847,1.424224769,50.72829676,34.10370946,19.33061436,54023,5.250065462,11.74263225,78.94014278,61.60266064,1734,4062,0
IN,union,18161,7251,96.16604606,0.165494415,0.013791201,0.330988829,49.63453317,36.29844159,17.33553993,45104,5.400056545,11.8415762,81.44350623,100,682,1749,0
IN,vanderburgh,18163,181692,84.37905907,8.940404641,2.476718843,2.647887634,51.61647183,40.03753605,15.29071175,43311,5.72513715,10.21960976,75.09755898,9.167348347,27183,29375,0
IN,vigo,18167,108099,86.02114728,5.83631671,2.505111056,3.400586499,49.17251778,42.4379504,14.65415961,41221,8.129531174,12.31385363,76.823873,23.7584378,15171,14813,1
IN,warren,18171,8309,96.72644121,0.686003129,1.359971116,0.421229992,50.42724756,33.59008304,19.30436876,58623,5.00234852,9.030948757,80.43294436,77.10390221,914,2208,0
IN,warrick,18173,61427,93.12354502,1.500968629,1.71260195,2.720302147,50.59175932,36.9169909,16.0711088,61542,4.519540083,7.178531316,72.00038235,29.30690747,9594,14010,0
IN,washington,18175,27792,97.01352907,0.046776051,1.277345999,0.467760507,50.40659182,37.2445308,15.46488198,44883,8.659603869,14.48908573,87.29305072,76.84523388,2806,6127,0
IN,wayne,18177,67423,88.64779081,4.855909704,2.77205108,2.23069279,51.6782107,37.08526764,17.92860003,39691,7.299010413,15.26924076,82.8651199,33.04990061,7482,11241,0
IN,wells,18179,27836,95.24716195,0.632274752,2.590171002,1.602241701,50.56761029,38.22747521,17.36600086,51568,3.798460661,8.81238324,82.60475047,50.56086264,2694,7819,0
IN,white,18181,24265,90.24520915,0.461570163,7.554090253,4.31485679,50.29466309,36.13022872,18.56995673,51547,5.421586562,10.39465043,84.31548152,67.96656251,2736,5100,0
IN,whitley,18183,33354,95.86556335,0.38975835,1.843856809,0.929423757,50.0509684,36.81717335,16.23493434,54837,4.705068327,9.855224141,81.711146,71.16424366,3818,9019,0
MA,barnstable,25001,214703,90.60236699,2.551897272,2.636665533,6.948668626,52.24007117,27.3927239,27.84357927,65382,6.302197852,4.608364834,58.90394335,7.483046765,125340,103620,1
MA,essex,25009,769362,72.85283131,3.015095625,18.82637822,15.82947949,51.83827639,37.39747999,15.58811067,70886,7.008640005,10.7130535,61.95967439,4.24404468,356686,242134,1
MA,franklin,25011,70916,91.43775735,1.04348807,3.664899318,5.201929043,51.03925771,31.87574031,18.16092278,56347,6.122191366,7.226547592,64.1000687,54.43170991,45824,17580,1
MA,hampshire,25015,161035,84.61079889,2.683267613,5.253516316,7.846120409,53.23066414,44.24317695,14.75517745,62608,7.146733412,5.741344796,55.27746446,27.44369939,99886,36434,1
MA,middlesex,25017,1567610,74.07314319,4.718775716,7.468821965,19.9563667,51.1887523,38.04696321,14.03627178,89019,5.355120783,7.360150906,46.9954307,3.027706351,881802,405742,1
